epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,1322.75,0.64131,0.39944,0.90466,0.99997,0.99838,0.995,0.86051,0.56104,0.33308,0.79303,0.008548,0.008548,0.008548
46,1352.71,0.63279,0.40288,0.89926,1,0.99666,0.995,0.85616,0.55512,0.33377,0.79124,0.008515,0.008515,0.008515
47,1382.53,0.62234,0.39527,0.89618,0.99983,0.99838,0.995,0.88603,0.54842,0.33062,0.7807,0.008482,0.008482,0.008482
48,1410.73,0.62181,0.39535,0.89495,0.9998,1,0.995,0.8817,0.53796,0.31966,0.78666,0.008449,0.008449,0.008449
49,1439.59,0.61864,0.39556,0.89509,0.99909,0.99676,0.995,0.87574,0.52266,0.32764,0.78547,0.008416,0.008416,0.008416
50,1468.88,0.60962,0.3931,0.89395,0.99974,1,0.995,0.87511,0.50983,0.30933,0.77873,0.008383,0.008383,0.008383
51,1497.92,0.61593,0.39189,0.89715,1,0.99996,0.995,0.86634,0.54675,0.3139,0.78825,0.00835,0.00835,0.00835
52,1527.56,0.61845,0.39184,0.89413,0.99982,0.99838,0.995,0.84198,0.61458,0.3315,0.7969,0.008317,0.008317,0.008317
53,1555.8,0.61946,0.39573,0.89535,0.99354,0.99582,0.99493,0.89212,0.46492,0.30201,0.77287,0.008284,0.008284,0.008284
54,1585.13,0.61534,0.38171,0.89305,0.9999,0.99838,0.995,0.89628,0.48455,0.30961,0.7792,0.008251,0.008251,0.008251
55,1614.28,0.61249,0.37813,0.89723,0.99975,1,0.995,0.88348,0.48295,0.29392,0.77902,0.008218,0.008218,0.008218
56,1643.64,0.61263,0.38492,0.8959,0.99999,1,0.995,0.85135,0.58432,0.33302,0.79511,0.008185,0.008185,0.008185
57,1672.83,0.60983,0.37882,0.89956,0.99962,1,0.995,0.86173,0.58003,0.32361,0.80304,0.008152,0.008152,0.008152
58,1700.51,0.60872,0.38281,0.89526,0.99981,0.99838,0.995,0.87936,0.50903,0.30416,0.78602,0.008119,0.008119,0.008119
59,1729.3,0.60254,0.37565,0.89578,0.9998,1,0.995,0.85688,0.59278,0.3161,0.79499,0.008086,0.008086,0.008086
60,1760.22,0.61116,0.37482,0.89411,0.99983,1,0.995,0.88625,0.51142,0.30507,0.78375,0.008053,0.008053,0.008053
61,1789.48,0.5995,0.36989,0.8938,1,0.99983,0.995,0.87596,0.56129,0.30517,0.78958,0.00802,0.00802,0.00802
62,1818.46,0.60365,0.3692,0.89327,0.99981,1,0.995,0.87187,0.52523,0.30543,0.78185,0.007987,0.007987,0.007987
63,1848.8,0.60139,0.3744,0.8937,0.99951,0.99838,0.995,0.86315,0.56457,0.31052,0.79214,0.007954,0.007954,0.007954
64,1877.3,0.60281,0.3721,0.89338,0.99978,0.99838,0.995,0.8864,0.53203,0.30323,0.79071,0.007921,0.007921,0.007921
65,1907.84,0.59287,0.36891,0.89174,0.99961,1,0.995,0.84999,0.57666,0.31474,0.79241,0.007888,0.007888,0.007888
66,1936.91,0.59277,0.36424,0.89055,0.99965,0.99838,0.995,0.89785,0.4693,0.28313,0.76906,0.007855,0.007855,0.007855
67,1967.76,0.59674,0.37138,0.89307,0.99936,0.99838,0.995,0.88509,0.52694,0.2963,0.78263,0.007822,0.007822,0.007822
68,1994.39,0.58859,0.36447,0.88842,0.99937,1,0.995,0.88966,0.51025,0.29918,0.77924,0.007789,0.007789,0.007789
69,2024.14,0.59231,0.36037,0.89229,0.99976,1,0.995,0.86336,0.58158,0.30415,0.79321,0.007756,0.007756,0.007756
